2026/04/10 23:54:57 INFO CORS configuration loaded allowed_origins="[http://localhost:5173 http://127.0.0.1:5173]"
2026/04/10 23:54:57 INFO starting backend server address=:3000 environment=development
2026/04/10 23:55:21 INFO request completed request_id=9de9a9f6-15e7-4ee3-938f-ee9ea9de33d2 method=GET path=/api/health status=200 latency_ms=0 ip=127.0.0.1 origin=""
2026/04/10 23:55:43 WARN request completed request_id=91eaf08c-f42b-4990-9113-897d4e7d0ef6 method=GET path=/api/auth/me status=401 latency_ms=0 ip=127.0.0.1 origin=""
2026/04/10 23:55:43 INFO request completed request_id=3a6bc1df-89ca-42d9-a168-e4b6494dc03b method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=593 ip=127.0.0.1 origin=""
2026/04/10 23:56:04 INFO request completed request_id=f705a927-0335-45c8-bf79-401216977908 method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=265 ip=127.0.0.1 origin=""
2026/04/11 00:03:13 INFO request completed request_id=53e4ded0-0f89-44e0-993f-0c06a259620b method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=251 ip=127.0.0.1 origin=""
2026/04/11 00:08:42 INFO request completed request_id=58383c25-1dd0-4467-bf1a-f333927071b7 method=POST path=/api/auth/login status=200 latency_ms=670 ip=127.0.0.1 origin=http://localhost:5173
2026/04/11 00:08:42 INFO request completed request_id=3e133587-57dc-4d8f-b875-c101ae595604 method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=81 ip=127.0.0.1 origin=""
2026/04/11 00:08:54 INFO request completed request_id=a4fd5dd4-d305-47bc-ba3c-a56564047471 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=303 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:55 INFO request completed request_id=8fcd4347-3f63-4cde-8b3d-d0aeec7ec867 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=233 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:56 INFO request completed request_id=ab029587-309e-49d1-b956-f7154b8b4a03 method=GET path="/api/messages/ebd9f7f2-ba54-4fda-940d-aa738e50600d?page=1&limit=50" status=200 latency_ms=312 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:56 INFO request completed request_id=4744c0dd-8a0c-4108-85d3-11c7b3f1a6c0 method=GET path="/api/messages/46c95b27-0b68-4a42-a5f9-3fd833db35dc?page=1&limit=50" status=200 latency_ms=215 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:59 INFO request completed request_id=32210995-2326-4cda-b1aa-1c3a68f8c434 method=GET path="/api/messages/ebd9f7f2-ba54-4fda-940d-aa738e50600d?page=1&limit=50" status=200 latency_ms=664 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:59 INFO request completed request_id=c279f261-39bc-46ba-8cd0-e7e5968eb13c method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=706 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:01 INFO request completed request_id=f03306bd-4be7-41f7-b573-9f08ece4f94b method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=259 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:01 INFO request completed request_id=86a1db5e-6fe0-40e5-b55a-4c36e96a61c2 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=359 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:02 INFO request completed request_id=713a9c10-6894-4817-b0b8-28bfbd4af939 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=236 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:04 INFO request completed request_id=0495beab-9a5e-4156-889e-c573065cee52 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=287 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:04 INFO request completed request_id=73da4433-2835-4219-a14a-328b2a0f3b37 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=345 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:04 INFO request completed request_id=ed85fd72-ee4d-4dfd-8864-4e5ca6cb8955 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=256 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:06 INFO request completed request_id=1c5224cb-5fac-48f3-83ca-025c0d7e2057 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=190 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:07 INFO request completed request_id=5d6adae6-627e-4783-8b57-1e5d57abdb1f method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=352 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:07 INFO request completed request_id=34c11e78-cf7e-434d-8ad4-9ef5a824f417 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=256 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:10 INFO request completed request_id=967bf91b-0c1b-4d09-9365-c09c223e7bb8 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=167 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:10 INFO request completed request_id=96270dca-68fc-4352-9633-517bb18a6c62 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=352 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:10 INFO request completed request_id=631d6238-fb71-4335-b294-7900cd0e4495 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=296 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:13 INFO request completed request_id=ba538b88-bff3-4c2e-9205-6f7c41ccdc8f method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=177 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:13 INFO request completed request_id=067c9d78-e1e7-445f-90fb-3b520c56c129 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=364 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:13 INFO request completed request_id=389fca33-1660-49b4-af15-7dc46a4392fb method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=304 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:15 INFO request completed request_id=c186e459-e793-4c8e-bd83-639e7955074a method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=175 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:15 INFO request completed request_id=4feae477-0449-429b-ace5-f5f5d240b6d8 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=356 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:16 INFO request completed request_id=f038e284-5fdc-4b10-a6cf-046a09aae33f method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=282 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:18 INFO request completed request_id=b6138287-a663-4387-9fde-aed300117011 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=179 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:18 INFO request completed request_id=892c37fa-79a0-4d25-9249-43e4782d8028 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=386 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:18 INFO request completed request_id=2eed76ab-242c-48cd-ad33-3f1d0cbaea7f method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=303 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:20 INFO request completed request_id=2f8e87e1-d3ec-435b-8e1e-cd460fb9dfde method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=206 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:20 INFO request completed request_id=c31df039-1402-4b92-a0c6-ae6b392e636a method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=366 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:21 INFO request completed request_id=894ce02d-22b6-4a3a-b07d-33b34776c504 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=289 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:23 INFO request completed request_id=d1768b4e-119c-498d-8e4e-f4894c7d593f method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=191 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:23 INFO request completed request_id=e3bd62c6-4f5a-4e02-a04e-962c96370648 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=371 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:23 INFO request completed request_id=90632d22-90b7-41cc-87ea-532382ae2252 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=256 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:25 INFO request completed request_id=5d936824-2f16-42a1-b5bd-bcc732eacacb method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=188 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:25 INFO request completed request_id=4d15e525-d5ed-46b8-ad75-2f899fa5f138 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=382 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:26 INFO request completed request_id=14a7cc7d-898f-4b1b-b0ac-74e2ee306cb2 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=279 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:28 INFO request completed request_id=35df5476-427c-4447-b169-4de3bf17f5d7 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=167 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:28 INFO request completed request_id=72e0c25c-9291-4e2a-b21b-bb4adf94ca9b method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=353 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:28 INFO request completed request_id=d4233133-e141-4583-9210-f08ab7daa1a5 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=248 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:30 INFO request completed request_id=b05fa940-056a-4a18-a4c8-5d006db48f8e method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=166 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:30 INFO request completed request_id=2ed3ad28-c66d-4234-a2ba-b22c15c460da method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=326 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:31 INFO request completed request_id=1352c556-b7e1-4702-8db5-ff467c5827d0 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=234 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:33 INFO request completed request_id=fd45174a-f758-492f-96f7-79d98203122b method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=197 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:33 INFO request completed request_id=655b9f45-2ef0-46ee-a1de-46e72fb7d30b method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=366 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:33 INFO request completed request_id=b98c60fa-762e-44bb-8078-69ddcc231cf8 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=252 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:35 INFO request completed request_id=a1bba1ef-4a96-4379-8894-a47904da5a65 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=172 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:35 INFO request completed request_id=a5a743f6-fffe-4d96-a8a9-de5a06b0419d method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=332 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:36 INFO request completed request_id=6d8788ec-f9c0-443a-91d9-b3bae99a15fa method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=257 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:38 INFO request completed request_id=d721c333-2fc1-456c-812f-f8ea074a364d method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=163 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:38 INFO request completed request_id=f5660947-1b25-4f73-beb2-262a85258ddc method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=342 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:38 INFO request completed request_id=0108b439-f4e0-4c85-8818-6a0b1df7afe4 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=247 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:40 INFO request completed request_id=c7067d57-18cb-4d17-b648-b2b5bf318e15 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=172 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:40 INFO request completed request_id=d5eba712-4347-4ffe-834e-670dd3c9d5b4 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=346 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:41 INFO request completed request_id=6d9286bd-6a7b-4a2e-b052-1476fb5d410f method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=263 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:43 INFO request completed request_id=33a9e9f5-65c5-4a58-a66a-451cf046ae75 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=183 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:43 INFO request completed request_id=45408263-470d-41e0-a6b2-e5d8bafc5533 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=356 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:43 INFO request completed request_id=ee5904b3-fabb-4e9a-b11b-94c4d0e41e7f method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=278 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:45 INFO request completed request_id=1df93826-3e8f-44be-b613-a65249bc80d0 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=191 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:46 INFO request completed request_id=81dc8fe0-9a19-472a-bdef-b178fe96db46 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=384 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:46 INFO request completed request_id=13bd124a-5f44-4441-b9d8-ce7a8803a042 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=233 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:48 INFO request completed request_id=185fb9be-243c-4663-9ff3-92f8e3ca0afb method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=194 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:48 INFO request completed request_id=7c53ff25-14b7-4e9e-b155-4b40179183a3 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=385 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:48 INFO request completed request_id=bd049937-bdfe-4a73-8f39-07f245fee24e method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=240 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:50 INFO request completed request_id=3689dede-0d8c-4243-ac55-40c7cf8d77cb method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=176 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:51 INFO request completed request_id=876e270e-b7f3-4017-91d8-76a863fa753b method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=339 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:51 INFO request completed request_id=a103fbae-49ed-47de-81e9-8f1a9d97f5dc method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=232 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:53 INFO request completed request_id=5b2b7d3f-4e79-44ac-b9ca-647afa6380a7 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=185 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:53 INFO request completed request_id=bd5335c9-84be-420b-92c2-af51fdcd3d34 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=345 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:53 INFO request completed request_id=8e7d0f0d-efa6-48a8-8abd-85ad454fcbd8 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=257 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:55 INFO request completed request_id=dc5d9234-217e-4a20-b713-3ede0c4e8a61 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=184 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:09:56 INFO request completed request_id=828571c8-4948-48b9-b1c1-37bc7b52c5dd method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=344 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
